,Car,Horsepower,Acceleration,Weight,Cylinders
0,STRING,DOUBLE,DOUBLE,DOUBLE,INT
1,Chevrolet Chevelle Malibu,130.0,12.0,3504.,8
2,Buick Skylark 320,165.0,11.5,3693.,8
3,Plymouth Satellite,150.0,11.0,3436.,8
4,AMC Rebel SST,150.0,12.0,3433.,8
5,Ford Torino,140.0,10.5,3449.,8
6,Ford Galaxie 500,198.0,10.0,4341.,8
7,Chevrolet Impala,220.0,9.0,4354.,8
8,Plymouth Fury iii,215.0,8.5,4312.,8
9,Pontiac Catalina,225.0,10.0,4425.,8
10,AMC Ambassador DPL,190.0,8.5,3850.,8
11,Citroen DS-21 Pallas,115.0,17.5,3090.,4
12,Chevrolet Chevelle Concours (sw),165.0,11.5,4142.,8
13,Ford Torino (sw),153.0,11.0,4034.,8
14,Plymouth Satellite (sw),175.0,10.5,4166.,8
15,AMC Rebel SST (sw),175.0,11.0,3850.,8
16,Dodge Challenger SE,170.0,10.0,3563.,8
17,Plymouth 'Cuda 340,160.0,8.0,3609.,8
18,Ford Mustang Boss 302,140.0,8.0,3353.,8
19,Chevrolet Monte Carlo,150.0,9.5,3761.,8
20,Buick Estate Wagon (sw),225.0,10.0,3086.,8
21,Toyota Corolla Mark ii,95.00,15.0,2372.,4
22,Plymouth Duster,95.00,15.5,2833.,6
23,AMC Hornet,97.00,15.5,2774.,6
24,Ford Maverick,85.00,16.0,2587.,6
25,Datsun PL510,88.00,14.5,2130.,4
26,Volkswagen 1131 Deluxe Sedan,46.00,20.5,1835.,4
27,Peugeot 504,87.00,17.5,2672.,4
28,Audi 100 LS,90.00,14.5,2430.,4
29,Saab 99e,95.00,17.5,2375.,4
30,BMW 2002,113.0,12.5,2234.,4
31,AMC Gremlin,90.00,15.0,2648.,6
32,Ford F250,215.0,14.0,4615.,8
33,Chevy C20,200.0,15.0,4376.,8
34,Dodge D200,210.0,13.5,4382.,8
35,Hi 1200D,193.0,18.5,4732.,8
36,Datsun PL510,88.00,14.5,2130.,4
37,Chevrolet Vega 2300,90.00,15.5,2264.,4
38,Toyota Corolla,95.00,14.0,2228.,4
39,Ford Pinto,0,19.0,2046.,4
40,Volkswagen Super Beetle 117,48.00,20.0,1978.,4
41,AMC Gremlin,100.0,13.0,2634.,6
42,Plymouth Satellite Custom,105.0,15.5,3439.,6
43,Chevrolet Chevelle Malibu,100.0,15.5,3329.,6
44,Ford Torino 500,88.00,15.5,3302.,6
45,AMC Matador,100.0,15.5,3288.,6
46,Chevrolet Impala,165.0,12.0,4209.,8
47,Pontiac Catalina Brougham,175.0,11.5,4464.,8
48,Ford Galaxie 500,153.0,13.5,4154.,8
49,Plymouth Fury iii,150.0,13.0,4096.,8
50,Dodge Monaco (sw),180.0,11.5,4955.,8
51,Ford Country Squire (sw),170.0,12.0,4746.,8
52,Pontiac Safari (sw),175.0,12.0,5140.,8
53,AMC Hornet Sportabout (sw),110.0,13.5,2962.,6
54,Chevrolet Vega (sw),72.00,19.0,2408.,4
55,Pontiac Firebird,100.0,15.0,3282.,6
56,Ford Mustang,88.00,14.5,3139.,6
57,Mercury Capri 2000,86.00,14.0,2220.,4
58,Opel 1900,90.00,14.0,2123.,4
59,Peugeot 304,70.00,19.5,2074.,4
60,Fiat 124B,76.00,14.5,2065.,4
61,Toyota Corolla 1200,65.00,19.0,1773.,4
62,Datsun 1200,69.00,18.0,1613.,4
63,Volkswagen Model 111,60.00,19.0,1834.,4
64,Plymouth Cricket,70.00,20.5,1955.,4
65,Toyota Corolla Hardtop,95.00,15.5,2278.,4
66,Dodge Colt Hardtop,80.00,17.0,2126.,4
67,Volkswagen Type 3,54.00,23.5,2254.,4
68,Chevrolet Vega,90.00,19.5,2408.,4
69,Ford Pinto Runabout,86.00,16.5,2226.,4
70,Chevrolet Impala,165.0,12.0,4274.,8
71,Pontiac Catalina,175.0,12.0,4385.,8
72,Plymouth Fury III,150.0,13.5,4135.,8
73,Ford Galaxie 500,153.0,13.0,4129.,8
74,AMC Ambassador SST,150.0,11.5,3672.,8
75,Mercury Marquis,208.0,11.0,4633.,8
76,Buick LeSabre Custom,155.0,13.5,4502.,8
77,Oldsmobile Delta 88 Royale,160.0,13.5,4456.,8
78,Chrysler Newport Royal,190.0,12.5,4422.,8
79,Mazda RX2 Coupe,97.00,13.5,2330.,3
80,AMC Matador (sw),150.0,12.5,3892.,8
81,Chevrolet Chevelle Concours (sw),130.0,14.0,4098.,8
82,Ford Gran Torino (sw),140.0,16.0,4294.,8
83,Plymouth Satellite Custom (sw),150.0,14.0,4077.,8
84,Volvo 145e (sw),112.0,14.5,2933.,4
85,Volkswagen 411 (sw),76.00,18.0,2511.,4
86,Peugeot 504 (sw),87.00,19.5,2979.,4
87,Renault 12 (sw),69.00,18.0,2189.,4
88,Ford Pinto (sw),86.00,16.0,2395.,4
89,Datsun 510 (sw),92.00,17.0,2288.,4
90,Toyota Corolla Mark II (sw),97.00,14.5,2506.,4
91,Dodge Colt (sw),80.00,15.0,2164.,4
92,Toyota Corolla 1600 (sw),88.00,16.5,2100.,4
93,Buick Century 350,175.0,13.0,4100.,8
94,AMC Matador,150.0,11.5,3672.,8
95,Chevrolet Malibu,145.0,13.0,3988.,8
96,Ford Gran Torino,137.0,14.5,4042.,8
97,Dodge Coronet Custom,150.0,12.5,3777.,8
98,Mercury Marquis Brougham,198.0,11.5,4952.,8
99,Chevrolet Caprice Classic,150.0,12.0,4464.,8
100,Ford LTD,158.0,13.0,4363.,8
101,Plymouth Fury Gran Sedan,150.0,14.5,4237.,8
102,Chrysler New Yorker Brougham,215.0,11.0,4735.,8
103,Buick Electra 225 Custom,225.0,11.0,4951.,8
104,AMC Ambassador Brougham,175.0,11.0,3821.,8
105,Plymouth Valiant,105.0,16.5,3121.,6
106,Chevrolet Nova Custom,100.0,18.0,3278.,6
107,AMC Hornet,100.0,16.0,2945.,6
108,Ford Maverick,88.00,16.5,3021.,6
109,Plymouth Duster,95.00,16.0,2904.,6
110,Volkswagen Super Beetle,46.00,21.0,1950.,4
111,Chevrolet Impala,150.0,14.0,4997.,8
112,Ford Country,167.0,12.5,4906.,8
113,Plymouth Custom Suburb,170.0,13.0,4654.,8
114,Oldsmobile Vista Cruiser,180.0,12.5,4499.,8
115,AMC Gremlin,100.0,15.0,2789.,6
