,Car,Model,Origin
0,STRING,INT,CAT
1,Chevrolet Chevelle Malibu,70,US
2,Buick Skylark 320,70,US
3,Plymouth Satellite,70,US
4,AMC Rebel SST,70,US
5,Ford Torino,70,US
6,Ford Galaxie 500,70,US
7,Chevrolet Impala,70,US
8,Plymouth Fury iii,70,US
9,Pontiac Catalina,70,US
10,AMC Ambassador DPL,70,US
11,Citroen DS-21 Pallas,70,Europe
12,Chevrolet Chevelle Concours (sw),70,US
13,Ford Torino (sw),70,US
14,Plymouth Satellite (sw),70,US
15,AMC Rebel SST (sw),70,US
16,Dodge Challenger SE,70,US
17,Plymouth 'Cuda 340,70,US
18,Ford Mustang Boss 302,70,US
19,Chevrolet Monte Carlo,70,US
20,Buick Estate Wagon (sw),70,US
21,Toyota Corolla Mark ii,70,Japan
22,Plymouth Duster,70,US
23,AMC Hornet,70,US
24,Ford Maverick,70,US
25,Datsun PL510,70,Japan
26,Volkswagen 1131 Deluxe Sedan,70,Europe
27,Peugeot 504,70,Europe
28,Audi 100 LS,70,Europe
29,Saab 99e,70,Europe
30,BMW 2002,70,Europe
31,AMC Gremlin,70,US
32,Ford F250,70,US
33,Chevy C20,70,US
34,Dodge D200,70,US
35,Hi 1200D,70,US
36,Datsun PL510,71,Japan
37,Chevrolet Vega 2300,71,US
38,Toyota Corolla,71,Japan
39,Ford Pinto,71,US
40,Volkswagen Super Beetle 117,71,Europe
41,AMC Gremlin,71,US
42,Plymouth Satellite Custom,71,US
43,Chevrolet Chevelle Malibu,71,US
44,Ford Torino 500,71,US
45,AMC Matador,71,US
46,Chevrolet Impala,71,US
47,Pontiac Catalina Brougham,71,US
48,Ford Galaxie 500,71,US
49,Plymouth Fury iii,71,US
50,Dodge Monaco (sw),71,US
51,Ford Country Squire (sw),71,US
52,Pontiac Safari (sw),71,US
53,AMC Hornet Sportabout (sw),71,US
54,Chevrolet Vega (sw),71,US
55,Pontiac Firebird,71,US
56,Ford Mustang,71,US
57,Mercury Capri 2000,71,US
58,Opel 1900,71,Europe
59,Peugeot 304,71,Europe
60,Fiat 124B,71,Europe
61,Toyota Corolla 1200,71,Japan
62,Datsun 1200,71,Japan
63,Volkswagen Model 111,71,Europe
64,Plymouth Cricket,71,US
65,Toyota Corolla Hardtop,72,Japan
66,Dodge Colt Hardtop,72,US
67,Volkswagen Type 3,72,Europe
68,Chevrolet Vega,72,US
