,Car,MPG,Displacement,Model,Origin
0,STRING,DOUBLE,DOUBLE,INT,CAT
1,Chevrolet Chevelle Malibu,18.0,307.0,70,US
2,Buick Skylark 320,15.0,350.0,70,US
3,Plymouth Satellite,18.0,318.0,70,US
4,AMC Rebel SST,16.0,304.0,70,US
5,Ford Torino,17.0,302.0,70,US
6,Ford Galaxie 500,15.0,429.0,70,US
7,Chevrolet Impala,14.0,454.0,70,US
8,Plymouth Fury iii,14.0,440.0,70,US
9,Pontiac Catalina,14.0,455.0,70,US
10,AMC Ambassador DPL,15.0,390.0,70,US
11,Citroen DS-21 Pallas,0,133.0,70,Europe
12,Chevrolet Chevelle Concours (sw),0,350.0,70,US
13,Ford Torino (sw),0,351.0,70,US
14,Plymouth Satellite (sw),0,383.0,70,US
15,AMC Rebel SST (sw),0,360.0,70,US
16,Dodge Challenger SE,15.0,383.0,70,US
17,Plymouth 'Cuda 340,14.0,340.0,70,US
18,Ford Mustang Boss 302,0,302.0,70,US
19,Chevrolet Monte Carlo,15.0,400.0,70,US
20,Buick Estate Wagon (sw),14.0,455.0,70,US
21,Toyota Corolla Mark ii,24.0,113.0,70,Japan
22,Plymouth Duster,22.0,198.0,70,US
23,AMC Hornet,18.0,199.0,70,US
24,Ford Maverick,21.0,200.0,70,US
25,Datsun PL510,27.0,97.00,70,Japan
26,Volkswagen 1131 Deluxe Sedan,26.0,97.00,70,Europe
27,Peugeot 504,25.0,110.0,70,Europe
28,Audi 100 LS,24.0,107.0,70,Europe
29,Saab 99e,25.0,104.0,70,Europe
30,BMW 2002,26.0,121.0,70,Europe
31,AMC Gremlin,21.0,199.0,70,US
32,Ford F250,10.0,360.0,70,US
33,Chevy C20,10.0,307.0,70,US
34,Dodge D200,11.0,318.0,70,US
35,Hi 1200D,9.0,304.0,70,US
36,Datsun PL510,27.0,97.00,71,Japan
37,Chevrolet Vega 2300,28.0,140.0,71,US
38,Toyota Corolla,25.0,113.0,71,Japan
39,Ford Pinto,25.0,98.00,71,US
40,Volkswagen Super Beetle 117,0,97.00,71,Europe
41,AMC Gremlin,19.0,232.0,71,US
42,Plymouth Satellite Custom,16.0,225.0,71,US
43,Chevrolet Chevelle Malibu,17.0,250.0,71,US
44,Ford Torino 500,19.0,250.0,71,US
45,AMC Matador,18.0,232.0,71,US
46,Chevrolet Impala,14.0,350.0,71,US
47,Pontiac Catalina Brougham,14.0,400.0,71,US
48,Ford Galaxie 500,14.0,351.0,71,US
49,Plymouth Fury iii,14.0,318.0,71,US
50,Dodge Monaco (sw),12.0,383.0,71,US
51,Ford Country Squire (sw),13.0,400.0,71,US
52,Pontiac Safari (sw),13.0,400.0,71,US
53,AMC Hornet Sportabout (sw),18.0,258.0,71,US
54,Chevrolet Vega (sw),22.0,140.0,71,US
55,Pontiac Firebird,19.0,250.0,71,US
56,Ford Mustang,18.0,250.0,71,US
57,Mercury Capri 2000,23.0,122.0,71,US
58,Opel 1900,28.0,116.0,71,Europe
59,Peugeot 304,30.0,79.00,71,Europe
60,Fiat 124B,30.0,88.00,71,Europe
61,Toyota Corolla 1200,31.0,71.00,71,Japan
62,Datsun 1200,35.0,72.00,71,Japan
63,Volkswagen Model 111,27.0,97.00,71,Europe
64,Plymouth Cricket,26.0,91.00,71,US
65,Toyota Corolla Hardtop,24.0,113.0,72,Japan
66,Dodge Colt Hardtop,25.0,97.50,72,US
67,Volkswagen Type 3,23.0,97.00,72,Europe
68,Chevrolet Vega,20.0,140.0,72,US
69,Ford Pinto Runabout,21.0,122.0,72,US
70,Chevrolet Impala,13.0,350.0,72,US
71,Pontiac Catalina,14.0,400.0,72,US
72,Plymouth Fury III,15.0,318.0,72,US
73,Ford Galaxie 500,14.0,351.0,72,US
74,AMC Ambassador SST,17.0,304.0,72,US
75,Mercury Marquis,11.0,429.0,72,US
76,Buick LeSabre Custom,13.0,350.0,72,US
77,Oldsmobile Delta 88 Royale,12.0,350.0,72,US
78,Chrysler Newport Royal,13.0,400.0,72,US
79,Mazda RX2 Coupe,19.0,70.00,72,Japan
80,AMC Matador (sw),15.0,304.0,72,US
81,Chevrolet Chevelle Concours (sw),13.0,307.0,72,US
82,Ford Gran Torino (sw),13.0,302.0,72,US
83,Plymouth Satellite Custom (sw),14.0,318.0,72,US
84,Volvo 145e (sw),18.0,121.0,72,Europe
85,Volkswagen 411 (sw),22.0,121.0,72,Europe
86,Peugeot 504 (sw),21.0,120.0,72,Europe
87,Renault 12 (sw),26.0,96.00,72,Europe
88,Ford Pinto (sw),22.0,122.0,72,US
89,Datsun 510 (sw),28.0,97.00,72,Japan
90,Toyota Corolla Mark II (sw),23.0,120.0,72,Japan
91,Dodge Colt (sw),28.0,98.00,72,US
92,Toyota Corolla 1600 (sw),27.0,97.00,72,Japan
93,Buick Century 350,13.0,350.0,73,US
94,AMC Matador,14.0,304.0,73,US
95,Chevrolet Malibu,13.0,350.0,73,US
96,Ford Gran Torino,14.0,302.0,73,US
97,Dodge Coronet Custom,15.0,318.0,73,US
98,Mercury Marquis Brougham,12.0,429.0,73,US
99,Chevrolet Caprice Classic,13.0,400.0,73,US
100,Ford LTD,13.0,351.0,73,US
101,Plymouth Fury Gran Sedan,14.0,318.0,73,US
102,Chrysler New Yorker Brougham,13.0,440.0,73,US
103,Buick Electra 225 Custom,12.0,455.0,73,US
104,AMC Ambassador Brougham,13.0,360.0,73,US
105,Plymouth Valiant,18.0,225.0,73,US
106,Chevrolet Nova Custom,16.0,250.0,73,US
107,AMC Hornet,18.0,232.0,73,US
108,Ford Maverick,18.0,250.0,73,US
109,Plymouth Duster,23.0,198.0,73,US
110,Volkswagen Super Beetle,26.0,97.00,73,Europe
111,Chevrolet Impala,11.0,400.0,73,US
112,Ford Country,12.0,400.0,73,US
113,Plymouth Custom Suburb,13.0,360.0,73,US
114,Oldsmobile Vista Cruiser,12.0,350.0,73,US
115,AMC Gremlin,18.0,232.0,73,US
116,Toyota Camry,20.0,97.00,73,Japan
117,Chevrolet Vega,21.0,140.0,73,US
118,Datsun 610,22.0,108.0,73,Japan
119,Mazda RX3,18.0,70.00,73,Japan
120,Ford Pinto,19.0,122.0,73,US
121,Mercury Capri v6,21.0,155.0,73,US
122,Fiat 124 Sport Coupe,26.0,98.00,73,Europe
123,Chevrolet Monte Carlo S,15.0,350.0,73,US
124,Pontiac Grand Prix,16.0,400.0,73,US
125,Fiat 128,29.0,68.00,73,Europe
126,Opel Manta,24.0,116.0,73,Europe
127,Audi 100LS,20.0,114.0,73,Europe
128,Volvo 144ea,19.0,121.0,73,Europe
129,Dodge Dart Custom,15.0,318.0,73,US
130,Saab 99le,24.0,121.0,73,Europe
131,Toyota Mark II,20.0,156.0,73,Japan
132,Oldsmobile Omega,11.0,350.0,73,US
133,Plymouth Duster,20.0,198.0,74,US
134,Ford Maverick,21.0,200.0,74,US
135,AMC Hornet,19.0,232.0,74,US
136,Chevrolet Nova,15.0,250.0,74,US
137,Datsun B210,31.0,79.00,74,Japan
138,Ford Pinto,26.0,122.0,74,US
139,Toyota Corolla 1200,32.0,71.00,74,Japan
140,Chevrolet Vega,25.0,140.0,74,US
141,Chevrolet Chevelle Malibu Classic,16.0,250.0,74,US
142,AMC Matador,16.0,258.0,74,US
143,Plymouth Satellite Sebring,18.0,225.0,74,US
144,Ford Gran Torino,16.0,302.0,74,US
145,Buick Century Luxus (sw),13.0,350.0,74,US
146,Dodge Coronet Custom (sw),14.0,318.0,74,US
147,Ford Gran Torino (sw),14.0,302.0,74,US
148,AMC Matador (sw),14.0,304.0,74,US
149,Audi Fox,29.0,98.00,74,Europe
150,Volkswagen Dasher,26.0,79.00,74,Europe
151,Opel Manta,26.0,97.00,74,Europe
152,Toyota Corolla,31.0,76.00,74,Japan
153,Datsun 710,32.0,83.00,74,Japan
154,Dodge Colt,28.0,90.00,74,US
155,Fiat 128,24.0,90.00,74,Europe
156,Fiat 124 TC,26.0,116.0,74,Europe
157,Honda Civic,24.0,120.0,74,Japan
158,Subaru,26.0,108.0,74,Japan
159,Fiat x1.9,31.0,79.00,74,Europe
160,Plymouth Valiant Custom,19.0,225.0,75,US
161,Chevrolet Nova,18.0,250.0,75,US
162,Mercury Monarch,15.0,250.0,75,US
163,Ford Maverick,15.0,250.0,75,US
164,Pontiac Catalina,16.0,400.0,75,US
165,Chevrolet Bel Air,15.0,350.0,75,US
166,Plymouth Grand Fury,16.0,318.0,75,US
167,Ford LTD,14.0,351.0,75,US
168,Buick Century,17.0,231.0,75,US
169,Chevrolete Chevelle Malibu,16.0,250.0,75,US
170,AMC Matador,15.0,258.0,75,US
171,Plymouth Fury,18.0,225.0,75,US
172,Buick Skyhawk,21.0,231.0,75,US
173,Chevrolet Monza 2+2,20.0,262.0,75,US
174,Ford Mustang II,13.0,302.0,75,US
175,Toyota Corolla,29.0,97.00,75,Japan
176,Ford Pinto,23.0,140.0,75,US
177,AMC Gremlin,20.0,232.0,75,US
178,Pontiac Astro,23.0,140.0,75,US
179,Toyota Corolla,24.0,134.0,75,Japan
180,Volkswagen Dasher,25.0,90.00,75,Europe
181,Datsun 710,24.0,119.0,75,Japan
182,Ford Pinto,18.0,171.0,75,US
183,Volkswagen Rabbit,29.0,90.00,75,Europe
184,AMC Pacer,19.0,232.0,75,US
185,Audi 100LS,23.0,115.0,75,Europe
186,Peugeot 504,23.0,120.0,75,Europe
187,Volvo 244DL,22.0,121.0,75,Europe
188,Saab 99LE,25.0,121.0,75,Europe
189,Honda Civic CVCC,33.0,91.00,75,Japan
190,Fiat 131,28.0,107.0,76,Europe
191,Opel 1900,25.0,116.0,76,Europe
192,Capri ii,25.0,140.0,76,US
193,Dodge Colt,26.0,98.00,76,US
194,Renault 12tl,27.0,101.0,76,Europe
195,Chevrolet Chevelle Malibu Classic,17.5,305.0,76,US
196,Dodge Coronet Brougham,16.0,318.0,76,US
197,AMC Matador,15.5,304.0,76,US
198,Ford Gran Torino,14.5,351.0,76,US
199,Plymouth Valiant,22.0,225.0,76,US
200,Chevrolet Nova,22.0,250.0,76,US
201,Ford Maverick,24.0,200.0,76,US
